ContractID,InsuredName,Producer,Underwriter,Branch,ExpiringContract,Status,InceptionDate,ExpirationDate,Perils,LOB,Form,Currency,UDF1,UDF2,UDF3,UDF4,UDF5,LayerID,LayerPerils,LimitType,Limit1,LimitA,LimitB,LimitC,LimitD,Limit2,DedAmt1,DedAmt2,DedAmt3,DedAmt4,AttachmentAmt,AttachmentPtA,AttachmentPtB,AttachmentPtC,AttachmentPtD,DedType,Premium,AggregateLimitType,AggregateLimit,AggregateAttachmentPt,AggregateDedType,AggregateDedAmt,SublimitPerils,SublimitArea,SubLimitLimitType,SublimitDedType,SubLimitOcc,SublimitPart,SublimitAttachAmt,SublimitLimitA,SublimitLimitB,SublimitLimitC,SublimitLimitD,SublimitAttachA,SublimitAttachB,SublimitAttachC,SublimitAttachD,SublimitDedAmt1,SublimitDedAmt2,SublimitDedAmt3,SublimitDedAmt4,SublimitName,ParentSublimitName,SublimitAggregateLimitType,SublimitAggregateLimit,SublimitAggregateAttachmentPt,SublimitAggregateDedType,SublimitAggregateDedAmt
1254036,,,,,,A,2022-03-15,2023-03-14,11534403,GC1,Unknown,USD,,,,,,2350099,11534403,E,,,,,,,0,0,0,0,200000000,200000000,,,,N,,N,0,0,N,0,11534403,AOP,B,MI,700000000,0,0,700000000,1,0,0,0,0,0,0,5000000,0,0,0,,,N,0,0,N,0
1254047,,,,,,A,2022-03-31,2023-03-30,11534403,GC1,Unknown,USD,,,,,,2350134,11534403,E,,,,,,,500000,0,0,0,200000000,200000000,,,,MI,,N,0,0,N,0,11534403,TIER 1 LOCATIONS,B,B,300000000,0,0,300000000,1,0,0,0,0,0,0,500000,0,0,0,,,N,0,0,N,0
920686,,,,,,A,2022-02-01,2023-02-01,11534403,GC2,Unknown,USD,,,,,,2002697,11534403,B,,,,,,,50000,0,0,0,0,0,,,,MI,,N,0,0,N,0,11534403,WSUD1_100K DED,B,B,50000000,0,0,50000000,1,0,0,0,0,0,0,100000,0,0,0,,,N,0,0,N,0
920686,,,,,,A,2022-02-01,2023-02-01,11534403,GC2,Unknown,USD,,,,,,2002697,11534403,B,,,,,,,50000,0,0,0,0,0,,,,MI,,N,0,0,N,0,11534403,WS_TIER 1_10M LIM 75K DED,B,B,10000000,0,0,10000000,1,0,0,0,0,0,0,75000,0,0,0,,,N,0,0,N,0
920689,,,,,,A,2022-01-28,2023-01-28,11534403,GC2,Unknown,USD,,,,,,2002709,11534403,E,,,,,,,2500000,0,0,0,0,0,,,,MI,,N,0,0,N,0,11534403,EXCL TIER 1,B,B,9,0,0,9,1,0,0,0,0,0,0,0,0,0,0,,,N,0,0,N,0
920690,,,,,,A,2022-02-01,2023-02-01,11534403,GC2,Unknown,USD,,,,,,2002713,11534403,E,,,,,,,100000,0,0,0,0,0,,,,MI,,N,0,0,N,0,11534403,WSUD3_5M DED,B,B,250000000,0,0,250000000,1,0,0,0,0,0,0,5000000,0,0,0,,,N,0,0,N,0
920693,,,,,,A,2022-02-01,2023-02-01,11534403,GC2,Unknown,USD,,,,,,2002726,11534403,E,,,,,,,250000,0,0,0,0,0,,,,MI,,N,0,0,N,0,11534403,1 LOC DED 100K,B,B,25000000,0,0,25000000,1,0,0,0,0,0,0,100000,0,0,0,,,N,0,0,N,0
1254964,,,,,,A,2022-06-30,2023-06-29,11534403,GC1,Unknown,USD,,,,,,2353022,11534403,E,,,,,,,25000,500000,0,0,200000000,200000000,,,,MM,,N,0,0,N,0,11534403,SPEC1,B,B,400000000,0,0,400000000,1,0,0,0,0,0,0,50000,0,0,0,,,N,0,0,N,0
1254964,,,,,,A,2022-06-30,2023-06-29,11534403,GC1,Unknown,USD,,,,,,2353022,11534403,E,,,,,,,25000,500000,0,0,200000000,200000000,,,,MM,,N,0,0,N,0,11534403,SPEC,B,B,400000000,0,0,400000000,1,0,0,0,0,0,0,25000,0,0,0,,,N,0,0,N,0
1254074,,,,,,A,2022-04-01,2023-03-31,11534403,GC1,Unknown,USD,,,,,,2350229,11534403,E,,,,,,,500000,1000000,0,0,75000000,75000000,,,,MM,,N,0,0,N,0,11534403,FL STATE AND TIER 1 LOC.,B,B,125000000,0,0,125000000,1,0,0,0,0,0,0,500000,0,0,0,,,N,0,0,N,0
920710,,,,,,A,2022-01-31,2023-02-01,11534403,GC2,Unknown,USD,,,,,,2002810,11534403,B,,,,,,,50000,0,0,0,0,0,,,,MI,,N,0,0,N,0,11534403,WSUD1 DED 100K,B,B,25000000,0,0,25000000,1,0,0,0,0,0,0,100000,0,0,0,,,N,0,0,N,0
920710,,,,,,A,2022-01-31,2023-02-01,11534403,GC2,Unknown,USD,,,,,,2002810,11534403,B,,,,,,,50000,0,0,0,0,0,,,,MI,,N,0,0,N,0,11534403,WST1 DED 250K,B,B,25000000,0,0,25000000,1,0,0,0,0,0,0,250000,0,0,0,,,N,0,0,N,0
920729,,,,,,A,2022-03-01,2023-03-01,11534403,GC2,Unknown,USD,,,,,,2002882,11534403,E,,,,,,,100000,25000000,0,0,0,0,,,,MM,,N,0,0,N,0,11534403,5M-10M_500K DED,B,B,50000000,0,0,50000000,1,0,0,0,0,0,0,500000,0,0,0,,,N,0,0,N,0
920729,,,,,,A,2022-03-01,2023-03-01,11534403,GC2,Unknown,USD,,,,,,2002882,11534403,E,,,,,,,100000,25000000,0,0,0,0,,,,MM,,N,0,0,N,0,11534403,2.5M-5M_250K DED,B,B,50000000,0,0,50000000,1,0,0,0,0,0,0,250000,0,0,0,,,N,0,0,N,0
920729,,,,,,A,2022-03-01,2023-03-01,11534403,GC2,Unknown,USD,,,,,,2002882,11534403,E,,,,,,,100000,25000000,0,0,0,0,,,,MM,,N,0,0,N,0,11534403,G10M_1M DED,B,B,50000000,0,0,50000000,1,0,0,0,0,0,0,1000000,0,0,0,,,N,0,0,N,0
920740,,,,,,A,2022-03-01,2023-03-01,11534403,GC2,Unknown,USD,,,,,,2002926,11534403,E,,,,,,,250000,0,0,0,0,0,,,,MI,,N,0,0,N,0,11534403,WST1 50K D,B,B,200000000,0,0,200000000,1,0,0,0,0,0,0,500000,0,0,0,,,N,0,0,N,0
920740,,,,,,A,2022-03-01,2023-03-01,11534403,GC2,Unknown,USD,,,,,,2002926,11534403,E,,,,,,,250000,0,0,0,0,0,,,,MI,,N,0,0,N,0,11534403,EQJP 37.5M L 250K D,B,B,150000000,0,0,150000000,1,0,0,0,0,0,0,250000,0,0,0,,,N,0,0,N,0
