SummaryId,EPCalc,EPType,ReturnPeriod,Loss
1,1,2,4.000000,331040.687500
1,1,2,3.984064,330323.843750
1,1,2,3.968254,329612.687500
1,1,2,3.952569,328907.156250
1,1,2,3.937008,328207.187500
1,1,2,3.921569,327512.718750
1,1,2,3.906250,326823.656250
1,1,2,3.891051,326139.968750
1,1,2,3.875969,325461.593750
1,1,2,3.861004,324788.437500
1,1,2,3.846154,324120.468750
1,1,2,3.831418,323457.625000
1,1,2,3.816794,322799.843750
1,1,2,3.802281,322147.062500
1,1,2,3.787879,321499.218750
1,1,2,3.773585,320856.250000
1,1,2,3.759398,320218.125000
1,1,2,3.745318,319584.781250
1,1,2,3.731343,318956.156250
1,1,2,3.717472,318332.218750
1,1,2,3.703704,317712.906250
1,1,2,3.690037,317098.156250
1,1,2,3.676471,316487.937500
1,1,2,3.663004,315882.187500
1,1,2,3.649635,315280.843750
1,1,2,3.636364,314683.875000
1,1,2,3.623188,314091.250000
1,1,2,3.610108,313502.906250
1,1,2,3.597122,312918.781250
1,1,2,3.584229,312338.843750
1,1,2,3.571429,311763.062500
1,1,2,3.558719,311191.375000
1,1,2,3.546099,310623.718750
1,1,2,3.533569,310060.093750
1,1,2,3.521127,309500.437500
1,1,2,3.508772,308944.687500
1,1,2,3.496503,308392.843750
1,1,2,3.484321,307844.843750
1,1,2,3.472222,307300.656250
1,1,2,3.460208,306760.218750
1,1,2,3.448276,306223.500000
1,1,2,3.436426,305690.500000
1,1,2,3.424658,305161.125000
1,1,2,3.412969,304635.375000
1,1,2,3.401361,304113.187500
1,1,2,3.389831,303594.562500
1,1,2,3.378378,303079.437500
1,1,2,3.367003,302567.781250
1,1,2,3.355705,302059.562500
1,1,2,3.344482,301302.031250
1,1,2,3.333333,300549.562500
1,1,2,3.322259,299802.093750
1,1,2,3.311258,299059.562500
1,1,2,3.300330,298321.937500
1,1,2,3.289474,297589.156250
1,1,2,3.278689,296861.187500
1,1,2,3.267974,296137.968750
1,1,2,3.257329,295419.468750
1,1,2,3.246753,294705.625000
1,1,2,3.236246,293996.406250
1,1,2,3.225806,293291.781250
1,1,2,3.215434,292591.687500
1,1,2,3.205128,291896.062500
1,1,2,3.194888,291204.875000
1,1,2,3.184713,290518.093750
1,1,2,3.174603,289835.687500
1,1,2,3.164557,289157.593750
1,1,3,1000.000000,2799762.000000
1,1,3,500.000000,2045652.000000
1,1,3,333.333333,1631994.000000
1,1,3,250.000000,1621116.000000
1,1,3,200.000000,1621116.000000
1,1,3,166.666667,1470000.000000
1,1,3,142.857143,1470000.000000
1,1,3,125.000000,1470000.000000
1,1,3,111.111111,1470000.000000
1,1,3,100.000000,1470000.000000
1,1,3,90.909091,1470000.000000
1,1,3,83.333333,1470000.000000
1,1,3,76.923077,1470000.000000
1,1,3,71.428571,1470000.000000
1,1,3,66.666667,1329762.000000
1,1,3,62.500000,1329762.000000
1,1,3,58.823529,1155420.000000
1,1,3,55.555556,1155420.000000
1,1,3,52.631579,1155420.000000
1,1,3,50.000000,1018416.000000
1,1,3,47.619048,1014300.000000
1,1,3,45.454545,1008420.000000
1,1,3,43.478261,1008420.000000
1,1,3,41.666667,1008420.000000
1,1,3,40.000000,877884.000000
1,1,3,38.461538,871416.000000
1,1,3,37.037037,867300.000000
1,1,3,35.714286,867300.000000
1,1,3,34.482759,867300.000000
1,1,3,33.333333,867300.000000
1,1,3,32.258065,866712.000000
1,1,3,31.250000,726768.000000
1,1,3,30.303030,726768.000000
1,1,3,29.411765,720300.000000
1,1,3,28.571429,720300.000000
1,1,3,27.777778,720300.000000
1,1,3,27.027027,720300.000000
1,1,3,26.315789,720300.000000
1,1,3,25.641026,720300.000000
1,1,3,25.000000,720300.000000
1,1,3,24.390244,582120.000000
1,1,3,23.809524,582120.000000
1,1,3,23.255814,575652.000000
1,1,3,22.727273,575652.000000
1,1,3,22.222222,575652.000000
1,1,3,21.739130,575652.000000
1,1,3,21.276596,575652.000000
1,1,3,20.833333,575652.000000
1,1,3,20.408163,575652.000000
1,1,3,20.000000,575652.000000
1,1,3,19.607843,575652.000000
1,1,3,19.230769,453348.000000
1,1,3,18.867925,453348.000000
1,1,3,18.518519,442176.000000
1,1,3,18.181818,442176.000000
1,1,3,17.857143,442176.000000
1,1,3,17.543860,431003.968750
1,1,3,17.241379,431003.968750
1,1,3,16.949153,431003.968750
1,1,3,16.666667,431003.968750
1,1,3,16.393443,377790.000000
1,1,3,16.129032,302232.000000
1,1,3,15.873016,302232.000000
1,1,3,15.625000,302232.000000
1,1,3,15.384615,302232.000000
1,1,3,15.151515,302232.000000
1,1,3,14.925373,302232.000000
1,1,3,14.705882,302232.000000
1,1,3,14.492754,302232.000000
1,1,3,14.285714,302232.000000
1,1,3,14.084507,302232.000000
1,1,3,13.888889,302232.000000
1,1,3,13.698630,302232.000000
1,1,3,13.513514,302232.000000
1,1,3,13.333333,302232.000000
1,1,3,13.157895,302232.000000
1,1,3,12.987013,302232.000000
1,1,3,12.820513,302232.000000
1,1,3,12.658228,302232.000000
1,1,3,12.500000,302232.000000
1,1,3,12.345679,302232.000000
1,1,3,12.195122,302232.000000
1,1,3,12.048193,302232.000000
1,1,3,11.904762,302232.000000
1,1,3,11.764706,302232.000000
1,1,3,11.627907,302232.000000
1,1,3,11.494253,302232.000000
1,1,3,11.363636,302232.000000
1,1,3,11.235955,302232.000000
1,1,3,11.111111,302232.000000
1,1,3,10.989011,302232.000000
1,1,3,10.869565,302232.000000
1,1,3,10.752688,302232.000000
1,1,3,10.638298,302232.000000
1,1,3,10.526316,291060.000000
1,1,3,10.416667,291060.000000
1,1,3,10.309278,291060.000000
1,1,3,10.204082,291060.000000
1,1,3,10.101010,291060.000000
1,1,3,10.000000,291060.000000
1,1,3,9.900990,291060.000000
