EventId,SummaryId,SampleType,EventRate,ChanceOfLoss,MeanLoss,SDLoss,MaxLoss,FootprintExposure,MeanImpactedExposure,MaxImpactedExposure
87,1,1,0.001000,0.000000,151116.000000,0.000000,1470000.000000,1470000.000000,1470000.000000,1470000.000000
87,1,2,0.001000,1.000000,113479.812500,92917.281250,1470000.000000,1470000.000000,1470000.000000,1470000.000000
89,1,1,0.001000,0.000000,151116.000000,0.000000,1470000.000000,1470000.000000,1470000.000000,1470000.000000
89,1,2,0.001000,0.800000,186971.843750,225031.609375,1470000.000000,1470000.000000,1176000.000000,1470000.000000
92,1,1,0.001000,0.000000,151116.000000,0.000000,1470000.000000,1470000.000000,1470000.000000,1470000.000000
92,1,2,0.001000,0.900000,180679.531250,211553.953125,1470000.000000,1470000.000000,1323000.000000,1470000.000000
102,1,1,0.001000,0.000000,151116.000000,0.000000,1470000.000000,1470000.000000,1470000.000000,1470000.000000
102,1,2,0.001000,0.900000,144205.593750,151484.406250,1470000.000000,1470000.000000,1323000.000000,1470000.000000
105,1,1,0.001000,0.000000,151116.000000,0.000000,1470000.000000,1470000.000000,1470000.000000,1470000.000000
105,1,2,0.001000,0.900000,153665.218750,186747.906250,1470000.000000,1470000.000000,1323000.000000,1470000.000000
109,1,1,0.001000,0.000000,151116.000000,0.000000,1470000.000000,1470000.000000,1470000.000000,1470000.000000
109,1,2,0.001000,0.900000,145122.734375,195335.406250,1470000.000000,1470000.000000,1323000.000000,1470000.000000
115,1,1,0.001000,0.000000,291060.000000,0.000000,1470000.000000,1470000.000000,1470000.000000,1470000.000000
115,1,2,0.001000,1.000000,308017.312500,234492.125000,1470000.000000,1470000.000000,1470000.000000,1470000.000000
116,1,1,0.001000,0.000000,151116.000000,0.000000,1470000.000000,1470000.000000,1470000.000000,1470000.000000
116,1,2,0.001000,1.000000,101218.554688,112167.171875,1470000.000000,1470000.000000,1470000.000000,1470000.000000
119,1,1,0.001000,0.000000,151116.000000,0.000000,1470000.000000,1470000.000000,1470000.000000,1470000.000000
119,1,2,0.001000,0.900000,165223.046875,156641.125000,1470000.000000,1470000.000000,1323000.000000,1470000.000000
120,1,1,0.001000,0.000000,151116.000000,0.000000,1470000.000000,1470000.000000,1470000.000000,1470000.000000
120,1,2,0.001000,0.900000,135197.781250,176340.218750,1470000.000000,1470000.000000,1323000.000000,1470000.000000
125,1,1,0.001000,0.000000,151116.000000,0.000000,1470000.000000,1470000.000000,1470000.000000,1470000.000000
125,1,2,0.001000,0.800000,135272.875000,167396.140625,1470000.000000,1470000.000000,1176000.000000,1470000.000000
132,1,1,0.001000,0.000000,151116.000000,0.000000,1470000.000000,1470000.000000,1470000.000000,1470000.000000
132,1,2,0.001000,0.900000,155706.671875,132839.468750,1470000.000000,1470000.000000,1323000.000000,1470000.000000
134,1,1,0.001000,0.000000,151116.000000,0.000000,1470000.000000,1470000.000000,1470000.000000,1470000.000000
134,1,2,0.001000,0.900000,219988.218750,279307.562500,1470000.000000,1470000.000000,1323000.000000,1470000.000000
137,1,1,0.001000,0.000000,291060.000000,0.000000,1470000.000000,1470000.000000,1470000.000000,1470000.000000
137,1,2,0.001000,1.000000,313442.843750,265115.468750,1470000.000000,1470000.000000,1470000.000000,1470000.000000
145,1,1,0.001000,0.000000,151116.000000,0.000000,1470000.000000,1470000.000000,1470000.000000,1470000.000000
145,1,2,0.001000,0.800000,125517.562500,144509.562500,1470000.000000,1470000.000000,1176000.000000,1470000.000000
147,1,1,0.001000,0.000000,151116.000000,0.000000,1470000.000000,1470000.000000,1470000.000000,1470000.000000
147,1,2,0.001000,0.900000,178490.859375,218171.578125,1470000.000000,1470000.000000,1323000.000000,1470000.000000
148,1,1,0.001000,0.000000,151116.000000,0.000000,1470000.000000,1470000.000000,1470000.000000,1470000.000000
148,1,2,0.001000,0.900000,152176.671875,296083.187500,1470000.000000,1470000.000000,1323000.000000,1470000.000000
149,1,1,0.001000,0.000000,151116.000000,0.000000,1470000.000000,1470000.000000,1470000.000000,1470000.000000
149,1,2,0.001000,0.800000,128605.750000,107142.109375,1470000.000000,1470000.000000,1176000.000000,1470000.000000
161,1,1,0.001000,0.000000,151116.000000,0.000000,1470000.000000,1470000.000000,1470000.000000,1470000.000000
161,1,2,0.001000,0.800000,156086.718750,159371.875000,1470000.000000,1470000.000000,1176000.000000,1470000.000000
162,1,1,0.001000,0.000000,151116.000000,0.000000,1470000.000000,1470000.000000,1470000.000000,1470000.000000
